,Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média,Endereço
44,BRCO11,Logística,"118,00","6,79%","6,72%","0,98",1.743.900.000,4.149.090,11,"3.226,31","308,67","9,57%","12,06%","Rua Olympia Semeraro, nº 381, 675 e 737, São Paulo - SP,Estrada Turística do Jaraguá, nº 50, Jaraguá, São Paulo - SP,Rodovia Dom Gabriel Paulino Bueno Couto, nº 1606, Itupeva - SP,Avenida Tabai-Canoas (BR 386), nº 1.200, Canoas - RS,Avenida Marginal Direita do Tietê, nº 342, São Paulo - SP,Avenida D com acesso a Rodovia Presidente Dutra, KM 298, Resende - RJ,Avenida Wilson Tavares Ribeiro, nº 1.651 - Contagem - MG,Rodovia Dom Gabriel Paulino Bueno Couto nº 1936 - Itupeva - SP,Rua Eugênia S. do Rosário, 2800, Londrina - PR,Avenida Helio Ossamu Daikuara nº 1.135, Embu das Artes - SP,Rod. BA-535. km 23, Lauro de Freitas - BA"
45,BRCR11,Híbrido,"63,29","8,59%","8,79%","0,63",1.685.930.000,1.642.630,9,"11.252,00","1.223,35","10,87%","11,98%","Rua Volkswagen, 291, Jabaquara, São Paulo/SP, Brasil, 04344-901,Avenida Das Nações Unidas 8501, Pinheiros, São Paulo, SP, 05425-070,Avenida Doutor Chucri Zaidan, 1240, Vila Sao Francisco Zona Sul, Sao Paulo/SP, Brasil, 04711-130,Avenida Das Americas, 4200, Bloco 5, Barra Da Tijuca, Rio De Janeiro/RJ, Brasil, 22640-102,Avenida Das Nacoes Unidas, 14401, Vila Gertrudes, Sao Paulo/SP, Brasil, 04794-000,Avenida Henrique Valadares, 28, Centro, Rio De Janeiro/RJ, Brasil, 00020-231,Rua Verbo Divino, 1488, Chácara Santo Antônio (zona Sul), São Paulo/SP, Brasil, 04719-002,Avenida Indianopolis, 3096, Indianópolis, São Paulo/SP, Brasil, 04062-904,Avenida Joao Cabral De Mello Neto, 850, Barra Da Tijuca, Rio De Janeiro/RJ, Brasil, 22775-057"
46,BREV11,Híbrido,"95,00","7,21%","7,69%","0,81",91.884.100,2.375,13,"16.574,00","1.425,56","8,60%","0,00%","Rua Joaquim Floriano, 413 - São Paulo/SP,Rua Gomes de Carvalho, 1356 - São Paulo/SP,Rua Joaquim Floriano, 100 - São Paulo/SP,Rua Cristiano Viana, 401 - São Paulo/SP,Avenida Brigadeiro Faria Lima, 2055 - São Paulo/SP,Alameda Santos, 1940 - São Paulo/SP,Rua Tabapuã, 500,Rua Fidêncio Ramos, 213 - São Paulo/SP,Alameda Itu, 852 - São Paulo/SP,Rua James Joule, 92 - São Paulo/SP,Avenida Brigadeiro Faria Lima, 3015 - São Paulo/SP,Avenida Doutor Cardoso de Melo, 1336 - São Paulo/SP,Rua Helena, 260 - São Paulo/SP"
47,BRIM11,Residencial,"1.030,22","7,08%","16,70%","0,92",127.888.000,0,1,"7.024,20","0,00","0,00%","0,00%","Rua Senador Pádua Sales, Pacaembu-SP"
48,BRIP11,Híbrido,"950,00","13,24%","20,37%","0,99",204.701.000,4.394,7,"7.366,06","0,00","0,00%","0,00%","Rua Padre Chico, Pompeia, São Paulo/SP,Jamaris - Bairro Moema
98% - BRIO MULTI,Rua Sebastião Paes, Campo Belo-SP,Av. das Magnólias, 682- 874- Cidade Jardim SP,Rua Guarará, Jardim Paulista- SP,Rua Ministro Ferreira Alves,294  Pompéia São Paulo - SP,Rua Dom Manuel, nº 33, São Paulo/SP,"
49,BRLA11,Outros,"160,00","5,03%","8,11%","1,01",498.720.000,136.484,7,"3.731,26","190,43","5,10%","0,00%","Estrada Ladeira Grande, S/n, Área 01-a, Parque Industrial, Viana/ES, Brasil, 29136-537,Setor 2, Setor 2, S/n, Lote 08b3, Setor 2, Lucas Do Rio Verde/MT, Brasil, 78455-000,Avenida Anel De Contorno, S/n, Lote J-13b, Ayrton Senna, Vitoria Da Conquista/BA, Brasil, 45057-000,Km 101, Da Br-101, 101, Conde/PB, Brasil, 58322-000,Rua Alexandre Barreto Cavalcante, 74, Lote 01b Quadra 07, Alterosa, Ribeirao Das Neves/MG, Brasil, 33821-105,Rua Jose Lana, 850, Brilhante I, Itajai/SC, Brasil, 88318-290,Rodovia Dos Imigrantes, Km 501, Distrito Industrial, Cuiaba/MT, Brasil, 78098-325"
50,BROF11,Híbrido,"69,70","0,16%","1,68%","0,66",809.274.000,1.786.210,2,"8.811,78","14,74","0,17%","5,06%","Rua Do Passeio, 38, Centro, Rio De Janeiro/RJ, Brasil, 20021-290,Avenida de Ligacao, 1809, Nova Lima/MG, Brasil, 34006-200"
51,BTAL11,Outros,"94,00","8,44%","10,39%","0,89",562.377.000,935.036,9,"1.578,50","159,83","10,13%","0,00%","Avenida Presidente Tancredo De Almeida Neves, 1171, Karfan, Itumbiara/GO, Brasil, 75516-475,Rodovia Br 242, Km 75, S/n, Zona Rural, Nova Ubirata/MT, Brasil, 78888-000,Rua Frutal 689, Centro, Iturama/MG, Brasil, 38280-971,Rodovia Pr 182, Km 34  Maripa/pr, Km 34, Perola Independente , Maripa/PR, Brasil, 85958-000,Estrada Da Pedreira, 151,14 De Novembro, Cascavel/PR, Brasil, 85804-180,Rua Rio Verde, 101, Paul, Vila Velha/ES, Brasil, 29115-210,Rodovia Pr 364, Km 579, Palotina/PR, Brasil, 85950-000,Br 277, Km 533, Centro De Recebimento De Grão I.riedi, Colonia Murillo, Ibema/PR, Brasil, 85478-000,Rodovia Br467, Br 163, Km 256.5, Jardim Europa, Toledo/PR, Brasil, 85907-060"
52,BTCI11,Títulos e Val. Mob.,"9,18","17,11%","7,92%","0,90",913.604.000,2.080.100,0,"0,00","0,00","0,00%","0,00%",
53,BTCR11,Títulos e Val. Mob.,"88,00","12,48%","7,13%","0,92",423.289.000,0,0,"0,00","0,00","0,00%","0,00%",
54,BTLG11,Híbrido,"101,49","5,19%","8,76%","1,03",2.138.080.000,5.301.510,20,"4.355,91","217,28","4,99%","0,80%","Estrada Do Capuava, 1000, Chacara Ondas Verdes, Cotia/SP, Brasil, 06715-725,Rua Ronald Cladstone Negri, 557, Polo De Alta Tecnologia De Campinas Polo I, Campinas/SP, Brasil, 13069-472,Br 116, 2271, Verife, Itaitinga/CE, Brasil, 61880-000,Rodovia Ba535 Via Parafuso, Km 14, Cep 42849-000, S/n, Polo Logístico, Camacari/BA, Brasil,Avenida Charles Goodyear, S/n, Cururuquara, Santana De Parnaiba/SP, Brasil, 06524-115,Rodovia Dom Gabriel Paulino Bueno Couto, Km 80,2, Esquina Com Via Dos Ipes, Bairro Do Jacaré, Cabreuva/SP, Brasil, 13315-000,Avenida Beirario, 5777, Distrito Industrial Deputado Simao Da Cunha, Santa Luzia/MG, Brasil, 33040-260,Rodovia Marechal Rondon, Km 536, 21500, Avenida, Aracatuba/SP, Brasil, 16027-231,Rodovia Br470, 04, Machados, Navegantes/SC, Brasil, 88373-330,Rodovia Anhanguera, S/n, Km 308, Parque Residencial Candido Portinari, Ribeirao Preto/SP, Brasil, 14093-500,Avenida Alberto Soares Sampaio, S/n, Capuava, Maua/SP, Brasil, 09380-000,Avenida Francisco Roveri, S/n, Parque Almerinda Pereira Chaves, Jundiai/SP, Brasil, 13212-541,Rua Perola, 350, N/a, Jardim Santa Esmeralda, Hortolandia/SP, Brasil, 13186-546,Rua Dona Catharina Maria De Jesus, 400, Bonsucesso, Guarulhos/SP, Brasil, 07175-500,Estrada De Sao Goncalo, S/ Nº, Altura Aproximada Do Km 530, Humildes , Feira De Santana/BA, Brasil, 44135-000,Avenida Brigadeiro Faria Lima, 186, Pinheiros, Sao Paulo/SP, Brasil, 05426-200,Estrada Municipal Thereza Thomazella, 432, Bairro Dos Pires, Extrema/MG, Brasil, 00037-640,Estrada Ferreira Guedes, 784, Potuvera, Itapecerica Da Serra/SP, Brasil, 06885-150,Rua Sargento Rodoval Cabral Trindade 780, 36º Subdistrito - Vila Maria, Parque Novo Mundo, Sao Paulo/SP, Brasil, 02190-900,Estrada Rio Douro, 800, Mantiquira, Duque De Caxias/RJ, Brasil, 25245-810"
55,BTRA11,Outros,"81,30","6,72%","11,84%","0,69",273.539.000,622.071,6,"3,76","0,48","12,87%","0,00%","Area Rural, Sn, Sao Desiderio/BA, Brasil, 47820-000,Rodovia Br 364, Km 888, Campo Novo Do Parecis/MT, Brasil, 78360-000,Zona Rural, Tapurah/MT, Brasil, 78573-000, Zona Rural, Nova Mutum/MT, Brasil, 78450-000,Area Rural, Sn, Nova Maringa/MT, Brasil, 78445-000,Zona Rural, Campo Verde/MT, Brasil, 78840-000"
56,BTSG11,Híbrido,"115,00","13,26%","6,68%","0,84",89.126.700,166.472,1,"4.725,15","681,21","14,42%","0,00%","Avenida dos Alecrins, 430, Distrito Industrial, Pouso Alegre, Minas Gerais, Brasil"
57,BTWR11,Lajes Corporativas,"107,00","5,98%","5,37%","0,96",86.591.900,0,1,"4.325,30","281,46","6,51%","0,00%","Rua Qd. B-27, Av. Dep. Jamel Cecílio, 56 - Jardim Goiás, Goiânia"
58,BVAR11,Outros,"100,01","74,65%","433,54%","0,09",62.560.300,0,62,"463,24","390,88","84,38%","7,54%","Av. Adolfo Pinheiro, 62 - Santo Amaro,Rua Major Facundo, 532 - Centro,Rua Antonio João, 59 - Lj 12 e 13 - Centro,Rua Visconde de Pirajá, 138 -A - Ipanema,Rua 13 de Junho, 265 - Centro,Av. Sete de Setembro, 238 - Centro,Av. Portugal, 221 - Centro,Rua Duque de Caxias, 222 - Santo Antonio,Pça XV de Novembro, 111,Rua Voluntários da Pátria, 29 - Centro,Rua Barão de Jundiaí, 955 - Centro,Pça Antonio Menck, 103 - Centro,Rua Carijós, 645 - Centro,Rua Grande, 517/523 - Centro,Rua Conselheiro João Alfredo, 38 Campina ,Rua Nova, 163 - Bairro Santo Antonio,Rua dos Andradas, 1.307 / 1.315 - Centro,Rua Regente Feijó, 1.037 - Centro,Av. Portugal, 213 - Centro,Rua da Azenha, 795 - Bairro Azenha,Av. Getulio Vargas, 258 - Centro,Rua Marechal Deodoro, 1.315 - Centro,Rua Antonio João, 59 - Lj 14 e 15 - Centro,Pça Dom Epaminondas, 131 - Centro,Av. Sete de Setembro, 740 - Centro,Rua Serra Dourada, 102 - S. Miguel Paulista,Av. Paraná, 321 - Centro,Rua 13 de Junho, 265 e Rua Antonio Joao, 59 (lojas 01 a 11),Rua Desembargador Westphalen, 130 - Centro,Rua Dr. Deodato Wertheimer, 1.374 - Centro,Rua James Holland, 422 - Barra Funda,Rua Teodoro Sampaio, 2.382 - Pinheiros,Rua Marechal Deodoro, 900 - Centro,Rua Dias da Cruz, 155 - Meier,Rua dos Andradas, 1441 - Centro - Porto Alegre,Av. Anhanguera, 5.520 - Bairro Setor Central,Av. Rio Branco, 637 - Cidade Alta,Rua Voluntários da Pátria, 167 - Centro,Av. 13 de Maio, 53 - Altos - Centro,Rua Maciel Pinheiro, 185 - Centro,Av. Presidente Kennedy, 09,Pça Ramos de Azevedo, 229,Rua João de Barros, 1812 - Encruzilhada ,Rua Candido Mendes, 1.280 - Bairro Central,Av. Senhor dos Passos, 1.167 - Centro,Rua Imperatriz Tereza Cristina, 57 - Boa Vista,Rua Riachuelo, 360 - Centro,Rua Manoel Correa, 76 - Centro,Av. Eduardo Ribeiro, 390 - Centro,Rua dos Americanos, 465 - Barra Funda,Rua Oswaldo Cruz, 132,Rua Sete de Setembro, 12/34 - Boa Vista,Rua Conselheiro João Alfredo, 68 - Centro,Av. Geronimo Monteiro, 299 - Centro,Rua Marechal Deodoro, 102 - Centro,Rua Sete de Setembro, 142 - Centro,Rua do Comercio, 352 - Centro,Rua da Paz, 338 - Afogados,Rua Senador Teodoro Pacheco, 1.074 - Centro,Av. Sete de Setembro, 941-A - Centro,Rua Barão do Rio Branco, 118,Rua Imperatriz Terreza Cristina, 35 - Boa Vista"
59,CACR11,,"104,74","17,94%","16,36%","1,02",189.311.000,501.769,0,"0,00","0,00","0,00%","0,00%",
60,CARE11,Híbrido,"2,11","-3,38%","0,00%","0,25",75.474.500,33.424,1,"0,00","0,00","0,35%","0,00%",
61,CBOP11,Lajes Corporativas,"36,14","11,16%","14,20%","0,49",51.138.100,11.049,1,"3.137,96","268,21","8,55%","39,65%","Avenida Marcos Penteado Ulhôa Rodrigues, 939, Tamboré, Barueri - SP"
62,CCME11,Outros,"128,05","3,86%","5,44%","1,26",384.073.000,178,1,"25.947,00","35,42","0,14%","0,00%","Avenida Vieira De Carvalho, 99, Sem Complemento, Republica, Sao Paulo/SP, Brasil, 01210-010"
63,CCRF11,Títulos e Val. Mob.,"79,39","8,95%","12,54%","0,80",124.793.000,2.616,0,"0,00","0,00","0,00%","0,00%",
64,CEOC11,Lajes Corporativas,"58,60","10,93%","11,51%","0,75",106.400.000,84.897,1,"6.369,18","822,31","12,91%","0,00%","Avenida Joao Cabral De Mello Neto, 850, 2º, 3º, 4º, 8º, 9º,10º,11º E 12º Andares, Barra Da Tijuca, Rio De Janeiro/RJ, Brasil, 22775-057"
65,CJCT11,Lajes Corporativas,"60,00","1,31%","0,00%","0,90",188.400.000,16.141,1,"9.066,40","491,16","5,42%","44,66%","Av. Magalhães de Castro, 4.800 - São Paulo/SP"
66,CNES11,Lajes Corporativas,"28,29","4,72%","4,58%","0,32",83.434.200,4.696,1,"1.198,68","180,32","15,04%","54,60%","Avenida Maria Coelho Aguiar, 215, Jardim Sao Luis, Sao Paulo/SP, Brasil, 05805-000"
67,CORM11,Híbrido,"81,00","9,69%","2,92%","0,98",82.402.600,0,3,"7.691,93","741,54","9,64%","0,00%","Avenida Alfredo Egidio De Souza Aranha, 145, Edifício Souza Aranha I, Vila Cruzeiro, Sao Paulo/SP, Brasil, 04726-170,Avenida Independencia, 565, Imóvel Porto Alegre, Independência, Porto Alegre/RS, Brasil, 00090-035,Avenida Alfredo Egidio De Souza Aranha, 145, Edifício Souza Aranha Ii, Vila Cruzeiro, Sao Paulo/SP, Brasil, 04726-170"
68,CPFF11,Títulos e Val. Mob.,"69,32","12,39%","8,87%","0,88",176.979.000,412.262,0,"0,00","0,00","0,00%","0,00%",
69,CPTR11,Títulos e Val. Mob.,"97,34","8,95%","18,02%","0,99",402.794.000,1.420.050,0,"0,00","0,00","0,00%","0,00%",
70,CPTS11,Títulos e Val. Mob.,"82,82","1,27%","11,98%","0,91",2.632.250.000,5.763.390,0,"0,00","0,00","0,00%","0,00%",
71,CRAA11,Títulos e Val. Mob.,"103,76","9,98%","4,46%","1,02",31.128.000,112.916,0,"0,00","0,00","0,00%","0,00%",
72,CRFF11,Títulos e Val. Mob.,"79,60","9,22%","9,21%","0,92",54.927.200,54.699,0,"0,00","0,00","0,00%","0,00%",
73,CTXT11,Lajes Corporativas,"13,73","-18,03%","0,00%","0,41",43.326.200,4.439,1,"937,17","5,67","0,61%","96,97%",Av. Roberto Zuccolo nº 555 Vila Leopoldina
74,CVBI11,Títulos e Val. Mob.,"89,57","13,85%","12,70%","0,94",986.186.000,2.446.390,0,"0,00","0,00","0,00%","0,00%",
75,CXAG11,Outros,"82,54","10,70%","11,15%","0,72",172.560.000,119.288,32,"2.992,46","356,04","11,90%","0,00%","AV OSVALDO ARANHA, 1316, PORTO ALEGRE - RS,AV BARAO DO RIO BRANCO, 2340, JUIZ DE FORA - MG,PC APRIGIO DE TOLEDO, 16, ATIBAIA - SP,AV RUI BARBOSA, 790, MACAÉ - RJ,AV DANIEL JARDIM DE GRISOLIA, 117, ITABIRA - MG,R CEL FALKENBACH, 951, SOLEDADE - RS,AV TERESOPOLIS, 3235, PORTO ALEGRE - RS,R MIGUEL PRISCO, 40, RIBEIRÃO PIRES - SP,R COMERCIO, 660, FREDERICO WESTPHALEN - RS,AV DOM HELDER CAMARA, 5.809, RIO DE JANEIRO - RJ,R. 7 DE SETEMBRO 1231, CACHOEIRA DO SUL - RS,R DR SANTOS, 103, MONTES CLAROS - MG,R JOSE ALBERTO PELUCIO, 63, BAEPENDI - MG,R CARVALHO DE SOUSA, 283, RIO DE JANEIRO - RJ,R DR LUCIO MALTA, 585, JACAREÍ - SP,R GAL BENTO MARTINS, 2926, URUGUAIANA - RS,R JACARANDA, 499, IPATINGA - MG,R JULIO DE CASTILHOS, 189, SANTA CRUZ DO SUL - RS,AV CESARIO DE MELO, 3166, RIO DE JANEIRO - RJ,R SAO JOSE, 667, PIRACICABA - SP,AV PARAGUASSU, 1725, CAPÃO DA CANOA - RS,R JULIO DE CASTILHOS, 915, OSÓRIO - RS,AV BRIG.LUIS ANTONIO, 900, SÃO PAULO - SP,R DR SIQUEIRA, 342, MAGÉ - RJ,AV TIRADENTES, 387, ARAGUARI - MG,R JULIO DE CASTILHOS, 1029, LAJEADO - RS,AV NOSSA SENHORA DE COPACABANA, 427, RIO DE JANEIRO - RJ,AV PEDRO II, 244, SÃO LOURENÇO - MG,PC GIOVANI BREDA, 1916, SÃO BERNARDO DO CAMPO - SP,R VER. MARINHO HEMETERIO OLIVEIRA, 80, QUEIMADOS - RJ,R CEL. HORACIO ALVES PEREIRA, 225, ELÓI MENDES - MG,R QUINZE DE NOVEMBRO, 570, PELOTAS - RS"
76,CXCE11B,Lajes Corporativas,"42,00","11,60%","11,24%","0,64",71.943.900,32.251,1,"3.427,53","433,71","12,65%","0,00%","Av Presidente Vargas, 2655, Centro, Rio de Janeiro - RJ"
77,CXCI11,Títulos e Val. Mob.,"81,70","2,54%","12,04%","0,88",168.116.000,209.977,0,"0,00","0,00","0,00%","0,00%",
78,CXCO11,Lajes Corporativas,"78,32","11,51%","11,05%","0,79",307.367.000,219.142,10,"3.295,60","401,82","12,19%","0,00%","Av do contorno, nº8256, CEP 30170-050, Belo Horizonte, MG,Rua Pouso Alegre, nº2.342, CEP 31010-514, Belo Horizonte, MG,Rua José Loureiro, nº195, CEP 80010-000, Curitiba, PR,Rua Barão de Melgaço, nº 3465, CEP 78005-300, Cuiabá, MT,Rua Bento Gonçalves, nº2463, CEP 93510-365, Novo Hamburgo, RS,Av Brasil, nº6.266, CEP 85810-000, Cascavel, PR,Rua 7 de setembro, nº1314, CEP 89010-204, BLUMENAU, SC,Rua dos Andradas, nº1000, CEP 90020-007, Porto Alegre, RS,Av Julio de Castilhos, nº1358, CEP 95010-000, Caxias do Sul, RS,Setor Bancario Sul, Quadra 1 Bloco L, PJ, nº28, CEP 70070-927, Brasília, DF"
79,CXRI11,Títulos e Val. Mob.,"73,50","9,68%","9,10%","0,86",115.818.000,20.700,0,"0,00","0,00","0,00%","0,00%",
80,CXTL11,Logística,"326,51","3,01%","59,78%","0,77",17.500.000,18.542,1,"2.305,82","316,18","13,71%","0,00%","Rua Projetada A, 240, Distrito Industrial - Duque de Caxias/RJ"
81,DAMT11B,Híbrido,"19,50","5,24%","3,43%","1,48",142.454.000,1.736,1,"2.220,53","96,81","4,36%","13,75%","Rua Itacolomi, 292, bairro Portão, Curitiba - PR"
82,DCRA11,Títulos e Val. Mob.,"9,03","8,79%","15,84%","0,94",60.852.300,222.835,0,"0,00","0,00","0,00%","0,00%",
83,DEVA11,Títulos e Val. Mob.,"60,60","11,16%","17,79%","0,64",851.121.000,3.055.460,0,"0,00","0,00","0,00%","0,00%",
84,DMAC11,Residencial,"13,00","-758,50%","0,00%","2,61",2.029.400,0,0,"0,00","0,00","0,00%","0,00%",
85,DOMC11,Híbrido,"439,00","0,18%","0,00%","4,43",1.072.830.000,0,2,"25.699,30","159,88","0,62%","38,25%","Avenida Armando Morais Sarmento, nº 100, Distrito Industrial de Queimados, Cidade de Queimados, Estado do Rio de Janeiro ,Rua José Versolato, 111, Centro, São Bernardo do Campo/SP."
86,DOVL11B,Lajes Corporativas,"1.200,69","5,70%","6,45%","1,00",79.733.000,1.090,2,"4.561,26","612,18","13,42%","29,50%","Av.Gen. Justo, 375, Centro, Rio de Janeiro - RJ,Av.Gen. Justo, 365, Centro, Rio de Janeiro - RJ"
87,DPRO11,Híbrido,"94,95","9,98%","10,62%","0,98",35.276.000,21.386,1,"2.691,48","211,76","7,87%","0,00%","Av. Prof. Vernon Krieble, 455 , Itapevi - SP"
88,DRIT11B,Lajes Corporativas,"88,60","8,87%","8,56%","0,67",41.046.300,1.043,6,"8.159,21","894,40","10,96%","7,79%","RUA DO RÓCIO, 350, SÃO PAULO - SP,ALAMEDA SANTOS, 787, SÃO PAULO - SP,RUA RAMOS BATISTA, 198, SÃO PAULO - SP,RUA JAMES JOULE, 65, SÃO PAULO - SP,AV DAS NAÇÕES UNIDAS, 19707, SÃO PAULO - SP,AV BRIGADEIRO FARIA LIMA, 1306, SÃO PAULO - SP"
89,DVFF11,Híbrido,"77,89","8,03%","11,32%","0,85",85.753.000,164.474,0,"0,00","0,00","0,00%","0,00%",
90,EDFO11B,Lajes Corporativas,"189,05","10,53%","10,76%","1,04",44.615.800,7.778,1,"124.064,00","14.455,33","11,65%","0,00%","Avenida Paulista, 1728, São Paulo/SP (14º ANDAR)"
91,EDGA11,Lajes Corporativas,"21,05","7,19%","7,23%","0,34",80.243.800,37.630,1,"3.190,35","353,99","11,10%","41,24%","Rua Da Quitanda, 86, Centro, Rio De Janeiro/RJ, CEP 20091005"
92,EGAF11,Títulos e Val. Mob.,"100,08","3,61%","19,80%","1,01",111.762.000,389.705,0,"0,00","0,00","0,00%","0,00%",
93,ELDO11B,Shoppings,"1.104,31","9,34%","3,10%","0,77",869.375.000,0,1,"11.437,20","1.275,08","11,15%","0,90%","Av. Rebouças, 3970, Pinheiros, São Paulo - SP"
94,EQIN11,Títulos e Val. Mob.,"93,50","11,42%","0,00%","1,04",158.757.000,0,0,"0,00","0,00","0,00%","0,00%",
95,EQIR11,Títulos e Val. Mob.,"8,71","12,85%","15,08%","0,87",43.767.800,70.187,0,"0,00","0,00","0,00%","0,00%",
96,ERCR11,Híbrido,"76.000,00","-1,33%","6,01%","1,26",180.576.000,0,0,"0,00","0,00","0,00%","0,00%",
97,ERPA11,Lajes Corporativas,"119,00","5,86%","6,59%","0,87",59.609.700,30.562,1,"17.642,00","1.382,98","7,84%","0,00%","Avenida Europa, 105 - Jardim Paulista"
98,EURO11,Logística,"242,99","9,44%","8,96%","0,75",93.292.600,47.423,7,"788,62","82,09","10,41%","0,00%","Rua Comandante Vergueiro da Cruz, 206,Rodovia Anhanguera , S/N KM 17,5,Av. Interlagos, 4455,Rodovia Anhanguera, s/n km 17,5,Av. Interlagos, 4.455,Rua Sargento Aquino, 136,Rua Sargento Aquino, 135/Rua Comandante Vergueiro da Cruz, 206"
99,EVBI11,Híbrido,"98,24","7,74%","9,08%","0,99",187.239.000,74.392,8,"5.626,88","383,21","6,81%","0,58%","Avenida das Américas nº 6205 - Rio de Janeiro, - RJ,Rua Augusto Tolle,Rua Pompeu Vairo, 200/300, São Paulo/SP,Rua Joaquim Nabuco, 374,Av. São Camilo,RUA PROFESSOR LUCAS GARZES, 2401, SÃO PAULO/ SP,Rua Tito, nº 671 - Bairro Vila Romana - São Paulo - SP,RUA PROFESSOR LUCAS GARZES, 2435, SÃO PAULO/ SP"
100,EXES11,Títulos e Val. Mob.,"88,00","8,92%","9,53%","0,92",23.299.700,88.096,0,"0,00","0,00","0,00%","0,00%",
101,FAED11,Outros,"155,67","12,03%","11,93%","0,72",99.966.300,109.061,3,"2.629,97","334,77","12,73%","0,00%","Rodovia Regis Bittencourt, 199, Sem Complemento, Centro, Taboão Da Serra/SP, Brasil, 06768-000,Alameda Maria Tereza, 2000, Dois Córregos, Dois Córregos, Valinhos/SP, Brasil, 13278-181,Rua Waldemar Silenci, 340, Sem Complemento, Cidade Jardim, Leme/SP, Brasil, 13614-370"
102,FAMB11B,Lajes Corporativas,"800,14","-7,52%","0,00%","0,27",83.854.700,33.443,1,"1.399,22","3,53","0,25%","89,31%","Avenida Almirante Barroso, 174, 1º Subsolo Até 31º Andar, Centro, Rio De Janeiro/RJ, Brasil, 20031-004"
103,FATN11,Híbrido,"95,99","9,59%","10,52%","0,97",121.782.000,81.222,29,"24.845,70","2.030,80","8,17%","0,00%","Av. Luiz Carlos Berrini, 1461,Rua Sansão Alves dos Santos, 76,AL. Campinas, 457,Rua Fidêncio Ramos, 100,Rua Pequetita, 215,Avenida Doutor Cardoso de Melo, 1340,Rua Arizona, 1366,Av. Dr. Cardoso de Melo, 1608,Rua Doutor Renato Paes de Barros, 717,Rua Dr. Cardoso de Melo, 1855 ,Av. Paulista, 2022,Avenida Brigadeiro Faria Lima, 1234,Avenida Presidente Juscelino Kubitschek, 1726,Avenida Paulista, 925,Rua Gomes de Carvalho, 1329,Rua do Rócio, 220,Rua Funchal, 129,Rua Funchal, 573,Rua Tabapuã, 500,Rua Gomes de Carvalho, 1108,Rua do Rócio, 351,Avenida Engenheiro Luís Carlos Berrini, 105,Rua Gomes de Carvalho, 1306,Av. Paulista, 2022,Rua Helena. 235,Av. das Nações Unidas, 11857,Rua Funchal, 513,Rua Tabapuã, 627,Rua Iaiá, 150"
104,FCFL11,Outros,"107,50","9,15%","8,98%","0,93",373.456.000,214.065,1,"12.030,10","1.167,97","9,71%","0,00%","Rua Quata, 300, Sem Complemento, Vila Olímpia, São Paulo/SP, Brasil, 04546-042"
105,FEXC11,Títulos e Val. Mob.,"83,50","1,88%","7,22%","8,15",8.310.020.000,0,0,"0,00","0,00","0,00%","0,00%",
106,FFCI11,Lajes Corporativas,"182,03","2,56%","0,00%","0,87",671.817.000,0,9,"16.380,20","980,41","5,99%","18,66%","Rua Surubim, 373, Brooklin Novo, São Paulo/SP,Alameda Santos, 1.800 - Jardins,Alameda Santos, 1163, Cerqueira César, São Paulo/SP,Praia do Flamengo nº 154, Flamengo, Rio de Janeiro/RJ,Rua Olimpiadas. 205, São Paulo SP,Av. Juscelino Kubitschek, 510, Itaim Bibi, São Paulo/SP,Rua Girassol, 555  Vila Madalena,Rua da Candelária nº 65, Centro, Rio de Janeiro/RJ,Avenida Paulista, 37, São Paulo/SP"
107,FGAA11,Híbrido,"9,77","11,52%","17,14%","1,02",333.134.000,1.292.520,0,"0,00","0,00","0,00%","0,00%",
108,FIGS11,Shoppings,"57,42","8,83%","8,12%","0,75",163.647.000,149.640,2,"2.518,53","234,24","9,30%","9,85%","Av. Bartolomeu de Castro, 230, Guarulhos - SP,Av. Juscelino Kubitscheck de Oliveira, 5.308, Guarulhos - SP"
109,FIIB11,Híbrido,"484,63","9,21%","8,57%","1,05",331.972.000,218.190,11,"597,95","61,14","10,23%","1,14%","R. Alemanha, nº 0 - Bairro Gloria Joinville - SC,Rua Dona Francisca, 8.300 Distrito Industrial -.Joinville - SC,R. D. Nelson N. Guimareaes, nº - Bairro Gloria - Joinville - SC,R. Sd 40187, nº 0 - Bairro Gloria - Joinville - SC,R. Silva Jardim, nº 0 - Bairro Gloria-Joinville-SC,Rua Dr. Nelson N Guimarães, S/N - Bairro Gloria - Joinville - SC,R. Sd 40187, nº 0 - Bairro Gloria - Joinville - SC,R. Otto Berner, nº 0 - Baiiro Gloria-Joinville-SC.,R. D. Francisca, 8300 - Dist. Indl - Joinville -SC,R. D. Nelson N. Guimareaes, nº - Bairro Gloria - Joinville - SC,R. Silva Jardim, nº 0 - Bairro Atiradores-Joinville-SC"
